content,score
Hati hati akun anda dibobol pihak gopay ..,1
Ga ad promo.,3
pesan gofood dengan jarak tidak lebih dari 1 km proses menunggu nya bisa 60 menit lalu gunanya berlangganan gojek apa? mengingat akunku sudah menjadi anak sultan,1
Sudah sangat sulit menemukan driver..,2
ok,3
Layanan kurang puas,1
Saran min adain fitur bisa beli dm free fire lwt apk gopay,2
Bodo amat dengan gopaylater...,1
Kode saya gk masuk msuk dah nunggu lama 🗿😺gk masuk masuk,1
Aplikasi penyengsara driver,1
epdate terus² lama² memori gua FULL BANG*S**,3
apps eror trus g tokped g gojek sama aja,1
Gak bisa beli pulsa eror terus,2
Server buruk kalau pas hari lebaran kaya gini...jelas di aplikasi ada driver ready...tpi tetep aja nggak bisa dapet driver...sangat mengecewakan...,1
2 jam nunggu ga asa driver mau ambil parah sih nolak rejeki,1
Lumayan,3
Banyakin promo lagi kayak dulu.. biar kami pengguna menengah kebawah banyak yang order..,3
Kntl aplikasi model taii Gw order gofood itu bayar Dibikin ruwet nunggu pesanan dibikin dulu berjam2 baru di cariin driver Ya kalo langsung dapet kan enak Nah ini isi nunggu driver lama banget Keburu kenyang,1
"Aneh, kmrn saya bayar paylater, lalu ada permintaan diupgrade, setelah upgrade, limit paylater hilang, biasa nya setelah upgrade, limit bertambah, dan perlu diketahui saya TDK pernah terlambat utk payment.",1
Draifer yg tidak ramah,1
Upgrade trus,3
"Aplikasinya lemot banget, lebih cepat yang lainnya.",1
"Kenapa kok pilihan bsm udh gaada padahal dlu ada, tambahin bsi juga",1
aplikasi sangat buruk. ketika saya mau tarik tunai gopay lewat ATM BCA. kode transaksi sering kali tidak muncul .,1
"lemooott,..ga jelass",1
"Makin ribet aja lahh,kirain di upgrade mau tambah bagus,malah tambah burukk",1
Loading terus,1
Kenapa sekarang gabisa gabungin voucher toko sama voucher gofood ya? Padahal pengguna lain bisa tapi akun saya gabisa.,1
Udah daftar 2 tahun lebih sebagai driver malah cuma ditolak .sini niat kerja malah diphp,1
"Gojek di hp saya ga bisa dibuka, kembali lg trs udah diunins trs install lg tetep aja blm bsa dibuka. Tolong ya bantuannya. Makasih",3
Ini aplikasi gojek kenapa ya kok setiap saya klik mau buka selalu langsung keluar. Padahal saya perlu untuk membayar pay later. Tolong tim ini bagaimana?,2
"semenjak naik jadi level JURAGAN malah gak pernah dapat promo ongkir, padahal promo nya member juragan di awal bulan dpt promo 20% go food, dll",1
Promo nya ga trpasang otomatis...Jd gabisa d gabung voucher...voucher nya jd ga k pake..ga kaya versi yg sebelumnya,2
Hati-hati pakai gojek terkhusus gopay. Sekarang sangat banyak kejadian terpotong otomatis saldo gopay untuk transaksi yg tidak jelas... Dan pihak gojek sama sekali tidak mau bertanggung jawab,1
"Makin lama makin mahal aja ongkos gojek,,gosend,,dan go shopnya,,aplikasi makin di upgrade makin lemot,, diskon go foodnya sengaja ngasih tempat yang paling jauh,, udah ga ada poin kayak awal2 gojek dulu,, gojek makin ke sini makin bobrok!!!",1
Saya Kecewa dengan Aplikasi Ini...!!! Saya Tidak Pesan Makanan Tapi Saya Disuruh Bayar Dan Tidak Bisa Cancel..!!!,1
Sangat kecewa dengan pelayanan gojek ini karna saya pesan gofood yang dikirim malah makanan basi saat di laporkan pelayanan gojek sangat buruk sekali sangat kecewa,1
"Kenapa akun gopay saya terblokir :( padahal saya mau melakukan transaksi, tapi dompet terblokir :( mohon kebijakannya gojek mungkin duit gak seberapa tapi itu hasil sendiri :(",1
"Apa"" harus premium masak liat lirik harus premium kecewa",2
Gak seru banget skrg gojek Setelah update untuk gopaylaternya malah gak lolos padahal sebelumnya setelah bayar bisa pake lagi walaupun ada denda keterlambatan bagaimana ini sistem gojek padahal sangat membantu banget walaupun limit gopaylaternya tidak banyak untuk beli pulsa dan goofood kecewa sih sama gojek,1
Untuk promo nya semakin sedikit..maaf saya turunkan bintang nya,1
PERKARA MAU HAPUS AKUN AJA SUSAHNYA MINTA APUN DI GRAB AJA MUDAH DI KASIH TAU CARANYA INI KOMUNIKASI HAYA DENGAN ROBOT!!!!,1
adain go Mart di Bangka Belitung dong,3
"Aneh bngt, padahal udah berhasil ubah PIN, tapi kenapa PIN nya masih salah terus, padahal lagi butuh bwt belanja di toped, sebenernya niat g sih bwt ngasih CB????",3
Dlu sih sangat membantu skrng smakin di update semakin jelek,1
Lebih mahal dari tetangga.,1
Terlalu mahal,1
"Driver setiap pagi ga pernah ada, app sampah. Banyakin driver sebelum buat app ginian",1
makin mahal ongkir,1
"Voucher tidak berfungsi, sudah klik pakai voucher, voucher tetap tidak terpakai",1
"Soal gofood dan gojek nya lama banget lah, apalagi kalo yang nganter nya kakek kakek, 2 jam baru nyampe, malah ga bisa di batalin lagi, tolong di perbaiki sikap driver ojol dan gofood nya.. Terimakasih",1
"parah amat nih aplikasi, pulang kerja mau buru buru sampe rumah mau buka go ride malah ngecrash ga muncul muncul. bkin stres woi",1
Mana dong promo2 dari gojek.. Gak da yg bagus... Mahal... Biaya ini itu... Parah sihhh... Gak suka pake aplikasi ini.. Klo begini terus.. Auto uninstall... 😩😩😩,1
Tepat waktu dan hemat,3
"Performa gojek skrg menurun jadi 2 kali lipat lebih mahal,terus kecewa bgt driver nya manja bgt main cancel2 sembarangan",1
"Kok di kebumen gk ada ya drivernya, saya nunggu lama gilak aja nih, 1 jam coba nunggu gk dapet²",1
Terrllu bnyk iklan sangat2 mengganggu... Klu bisa tidak usah munculkan iklan,1
"Ongkir gofood mahal parah, jadi ga pernah pake lagi",3
Beli pulsa pke gopay later saldo nya udh kpotong dan harus di byar sdangkan pulsa nya blom masuk. Dan hrus nunggu 2x24 jam untuk mlaporkan nya lagi.. Ko gini si..?,1
gopay leternya busuk sudah di bayar masih di blokir,1
"mending siapin dulu driver nya deh daripada nunggu makanannya nunggu dibuat, tapi akhirnya gada DRIVER YANG MAU. PAYAH! PARAH!",1
"ganti hp gopay payliter di blokir,,,,, jangan dounlod bakal nyesel,,,, disklike",1
Tolong perbaiki aplikasi gojeknya. Aplikasinya tiba2 sering keluar sndiri,3
Tolong di bagian Sulawesi di perluas lagi ya karena banyak di daerah kota² kecil belum ada!!,3
Nggak bisa di updaate,1
"Makin hancur aplikasi ini. Ngelag terus. Kirain ada perbaikan. Dah berhari"" gini trua",1
Aplikasi taiii,1
udah 2thn buat gofood malah makin pelit voucherr😔😔😔,3
"Jujur aja semakin hari malah makin mahal dan promo nya dikit, pdhl pengguna lama. Trs pake voucher biar dpt coin mlh coin nya lenyap dan ga dikasih. Esmosi aing teh",1
GO FOOD DI DEKET RUMAH GUA GA ADA SEMUA TERUS MAU MAKAN APA!?!?,1
Ga bisa dibuka,2
Ga bisa gabung vocher sekarang mahal.mending pake aplikasi sebelah murah,1
Dapet driver jauh jauh kalo laper / mau pergi jadi lama karna jarak driver yg jauh,1
"Satu kata , kapok ! Auto uninstal",1
Di sekitar banyak driver kenapa ambil yang jauh..kan kasian drivernya..,3
Apk pea balikin VCR comboooo,1
Sangat disayangkan dengan adanya program ongkir 5k sangat tidak menguntungkan sama sekali bagi pihak drivernya...,1
"APLIKASI PENIPU, TIBA TIBA ADA TAGIHAN DAN TIDAK ADA RINCIAN. APLIKASI PENCURI",1
Saldo gopaynya tidak jelas ada berapa?,3
"Woiii ini knp anj banyak banget iklanya, mau masuk aplikasi apapun itu ada iklan aplikasi GO-JEK bab*",1
"Bener2 kecewa, akun gopaylater diblokir tiba2, padahal tidak ada tunggakan sama sekali dan tidak ada aktivitas mencurigakan maupun ketentuan yg dilanggar, sudah laporan di aplikasinya tpi jawaban sangat tidak membantu. Limit ditambahi terus tapi akun diblokir, percuma lah.",5
"Aplikasihnya dibuka susah bener, loading mulu. Padahal buka aplikasi lain fine² aja.",2
2 ewu kok di embat miskin kh manie,1
Banyak iklan nya males ga usah banyak iklan,2
Ga ada guna nya lagi ini aplikasi gara2 ga dapet voucher dan mission lagi..thx Udah 3tahun bersama..sekarang waktu nya uninstal...,1
TIDAK BISA BAYAR TELKOMSEL SETELAH UPDATE,1
Mengecewakan,1
Selalu error di menu otlet online,1
Sdh di bayar gopaylatter tepat waktu malah limit gak naik2.,1
"Kaa kenapa gopay ku d blokir , aku jd susah ngapa*in . Gimna biar ga ke blokir lg",2
"Aku gak tau sistem gofood gimana ya sekarang. Resto lama bgt. Dapat drivernya juga susah udah nunggu lama2 akhirnya ada pilihan batalkan pesanan. Ulang lagi nunggu lagi. Mohon dong gojek diperbaiki, padahal dulu gak gini",3
Kasi bintang 3 dulu,3
Gojek sistemnya makin bobrok pesan makanan 50mnit baru dapat driver dipikir gak laper apa ya?? Trs drivernya juga dapet penghasilan nya dikit bngtt masak aku bayar ongkir 13 yang masuk ke gojek 6rb mikir dong jangan ambil enak nya sendiri bikin miskin merchant aja,1
"Tiap kali mau topup yg one klik selalu hrs verifikasi nomor, klo ga punya pulsa jadi ga bisa topup gopay, kok jadi ribet gini.",2
"Aplikasi ini berbeda dengan dana , akun saya hilang dan suda lapor via gmail. Jawaban itu itu aja kalau dana masukin nomor telepon langsung pin, kalau ini ribet kudu harus ada verifikasi link",1
Tagihan sudah di bayar tapi limit tidak bisa digunakan sudah 1bln masih tidak bisa,2
"Order go food, biaya nya apa aja? 1. Biaya produk (sudah termasuk pajak) 2. Biaya penanganan dan pengiriman 3. Biaya parkir dan biaya bungkus Detail apa pelit pak? Indonesia banget sih pak wkwk,",2
Pelayanan kurang baik,1
Kenapa pas mau beli makanan restoran tutul padahal tulisan buka udah 3 kalk kayak gitu,2
"Kek taiiiii dapet driver susah bgt,tolol emg... jauh lbh baikan grab ketimbang gojek ini.. Perkara driver ga dapet mulu",1
Knapa jdi byak msalah gini jdi mles pake app nya.,1
Aplikasi error,1
Argo sering lonjakan.. Kadang ga masuk akal.. Dari yang biasa 25rb bisa sampe 100rb lebih.sadis,1
tolong dong saya mau upgrade ko lama bgt sih yang lain langsung punya saya engga,2
Kenapa gopayleter saya tidak bisa digunakan dan tidak muncul di menu saat pilihan pembayaran. Padahal saya selalu bayar tepat waktu. Kok gini sih,1
"Kenapa akun saya udah 3x dibokir ! , Saya sudah buat laporan dan ngisi data² yang di minta tapi sampai sekarang belum ada jawaban dan akun saya masih tetap di blokir ! . Admin cs gimana sih ga ngrespon keluhan apa yang di alami penggunanya!!",1
Saya beli barang secara online dan saya memesan gojek supaya barangnya cepat sampai eh tapi barang sayadibawa kabur sama drivernya gojek blom ada tanggung jawab lagi. Malah harga barangnya 18 jt😡😡😡,1
"Perusahaan kojek sekarang semakin menyiksa,menjajah,kapitalis seperti orang yahudi membebankan costamer harga ongkir ke driver murah potongan masih besar...semoga ada pihak""tertentu melihat postingan ini untuk mencabut izin gojeknya.",1
"Gopay lama ngeselin, saldo mau kirim ke bank main di pending"" aja. 2x saldo di tahan!!!",1
Pembelian paket data melalui gopay sangat mengecewakan..padahal kebutuhan sangat urgent,1
"saya nunggu kode otp lama bgt, tolong di perbaiki y. setengah jam baru muncul kode nya pas udh nunggu malah ga bisa login gmn si.",3
"Aplikasi Unfaedah, Sangat Membingungkan dan gak guna banget 🙄",1
Terlalu banyak gaya aplikasi gojek ini mau daftar pun mau tunggu 60 menit kira aplikasi transportasi kau aja y.,1
"Sudah 2 x di abaikan saat hujan dan puncakny kekesalan saya sekarang karena saya telat kerja di ulang ulang ulang terus cari driver padahal cuma gerimis bukan hujan lebat,,klw gk mau kehujanan driver trs gimana penumpangny,,bnyk kok pegawai kehujanan tetap berangkat laahhhh ini driver sombong amat ya gk ambil orderan padahal itu tarip udah berlipat lipat harganya dan bagi saya yg kerja tetap kok berapapun biayanya tapi apa kenyataannya,,semua mengabaikan apakah betul gojek solusi antar jemput!",2
Kenapa lemot banget saat ingin membayar loading terus,1
Kenapa order gofood saya tiba-tiba harus menunggu driver yang drop ke pelanggan lain yang searah??? Padahal saya tidak pilih opsi itu. Makanan jadi lama diantarrr...gojek..silahkan tanggapi,2
Bikin kesellll,1
Saya awalnya kasih bintang 5 tapi saya turunin menjadi 3. Karena ada driver yg sudah lama menjemput tapi malah cancel saya tanpa memberitahu. Seharusnya fitur cancel tidak diperbolehkan terhadap driver. Saya kecewa.,3
"sering di cancel ga jelas driver, nunggu driver lama krna hrs nyelesain trip sbelumnya( gojek ngecewain bgt)",1
Aneh order gelar dateng ya blubird uninstal lgi...,1
Ini kenapa gojek suka force close terus 😡😡😡,1
"Bagaimana nasib akun gopay pelanggan yang diblokir dan tidak dapat diaktifkan kembali yang rata"" diblokir cuman karena aktivitas mencurigakan seperti gonta ganti device(bukan dibuat transaksi penipuan), saldo yang berada di dalam bagaimana? Apa pihak gopay bisa bertanggung jawab?",1
"Makin sini makin susah dapetin gocar atau gojeg nya,pada neko2 driver nya,ada yg minta offline harga nya di naikin 50.000 ada yg mi ta di batalin lah apalah",1
Error,1
"Jadi malas pesan makanan sekarang di gojek, terlalu banyak biaya....",1
